source,processor,language,,,,,,,,,,,,,,,,,,,
https://www.gov.cn/zhengce/2020-12/26/content_5574414.htm,shiwen,ZH,,,,,,,,,,,,,,,,,,,
https://inside.nku.edu/content/dam/creative-thinking/docs/CT-Handouts-page/CT%20Handout%20Intellectual%20Property%20Quiz.pdf,minghuan,EN,,,,,,,,,,,,,,,,,,,
https://www.wipo.int/ip-outreach/en/ipday/2017/ipday2017_quiz-copy.html,minghuan,EN,,,,,,,,,,,,,,,,,,,
https://www.gastao.eu/ip-knowledge-test,minghuan,EN,,,,,,,,,,,,,,,,,,,
https://www.proprofs.com/quiz-school/quizzes/intellectual-property-law-quiz,minghuan,EN,,,,,,,,,,,,,,,,,,,
https://fr.surveymonkey.com/r/LW83BBV,minghuan,EN,,,,,,,,,,,,,,,,,,,
https://www.riddle.com/view/57770?qzzr=1,minghuan,EN,,,,,,,,,,,,,,,,,,,
https://about.lens.org/patent-knowledge-quiz/,minghuan,EN,,,,,,,,,,,,,,,,,,,
https://www.examsegg.com/intellectual-property-rights-india-questions.html,fuqiang,EN,,,,,,,,,,,,,,,,,,,
https://www.rkdewan.com/quizstart.php?qid=24,minghuan,EN,,,,,,,,,,,,,,,,,,,
https://www.eduki.ch/en/quizz/intellectual-property-quiz,shiwen,EN,,,,,,,,,,,,,,,,,,,
https://qpkendra.com/mcq/ipr-and-patenting-mcq-pg-1.html,fuqiang,EN,,,,,,,,,,,,,,,,,,,
https://openstax.org/books/introduction-intellectual-property/pages/chapter-1,fuqiang,EN,,,,,,,,,,,,,,,,,,,
https://www.lexifiche.com/quiz-propriete-intellectuelle-breve,fuqiang,fr,,,,,,,,,,,,,,,,,,,
https://www.q-net.or.kr/cst003.do?id=cst00309&gSite=L&gId=51,fuqiang,Korean,,,,,,,,,,,,,,,,,,,
https://www.agaroot.jp/benri/column/past-questions/,fuqiang,JP,,,,,,,,,,,,,,,,,,,
https://www.geo.de/wissen/quiz/wissenstest-erfindungen-i-30201276.html,minghuan,de,,,,,,,,,,,,,,,,,,,
https://www.geo.de/wissen/quiz/wissenstest-erfindungen-ii-30201270.html,minghuan,de,,,,,,,,,,,,,,,,,,,
https://www.eduki.ch/de/quizz/quiz-geistiges-eigentum,minghuan,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/geistiges-eigentum-teil-1/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/geistiges-eigentum-teil-2/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/geistiges-eigentum-teil-3/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/geistiges-eigentum-teil-4/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/geistiges-eigentum-teil-5/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/geistiges-eigentum-teil-6/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/geistiges-eigentum-teil-7/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/geistiges-eigentum-teil-8/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/geistiges-eigentum-teil-9/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/geistiges-eigentum-teil-10/,minghuan,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/design-schutzrecht-teil-1/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/design-schutzrecht-teil-2/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/design-schutzrecht-teil-3/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/design-schutzrecht-teil-4/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/handelsmarke-teil-1/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/handelsmarke-teil-2/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/handelsmarke-teil-3/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/handelsmarke-teil-4/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/patentrecht-deutschland-teil-1/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/patentrecht-deutschland-teil-2/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/patentrecht-deutschland-teil-3/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/patentrecht-deutschland-teil-4/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/urheberrecht-teil-1/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/urheberrecht-teil-2/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/urheberrecht-teil-3/,fuqiang,de,,,,,,,,,,,,,,,,,,,
https://www.fsgu-akademie.de/quiz/urheberrecht-teil-4/,fuqiang,de,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
